wine name,group_name, country
Belle Epoque Brut Champagne,Subtly aphrodisiac flavour,France
Blanc des Millénaires,Subtly aphrodisiac flavour,France
Brut Champagne,Subtly aphrodisiac flavour,France
Comtes de Champagne Blanc de Blancs,Subtly aphrodisiac flavour,France
Cristal Brut Champagne (Millésimé),Subtly aphrodisiac flavour,France
Cuvée des Enchanteleurs Brut Champagne,Subtly aphrodisiac flavour,France
Dom Ruinart Blanc de Blancs Brut Champagne,Subtly aphrodisiac flavour,France
Grande Cuvée,Subtly aphrodisiac flavour,France
La Grande Année Brut Champagne,Subtly aphrodisiac flavour,France
La Grande Dame Brut Champagne,Subtly aphrodisiac flavour,France
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Subtly aphrodisiac flavour,France
MV,Subtly aphrodisiac flavour,France
P2 Plénitude Brut Champagne,Subtly aphrodisiac flavour,France
R.D Extra Brut Champagne (Récemment Dégorgé),Subtly aphrodisiac flavour,France
Sauternes,Subtly aphrodisiac flavour,France
Sauternes (Premier Grand Cru Classé),Subtly aphrodisiac flavour,France
Sir Winston Churchill Brut Champagne,Subtly aphrodisiac flavour,France
Vintage,Subtly aphrodisiac flavour,France
Trebbiano d'Abruzzo,Subtly aphrodisiac flavour,Italie
