name,avg_ratings_average,total_ratings_count
Montrachet Grand Cru Marquis de Laguiche,4.8,339
IX Estate Red,4.8,131
Harlan Estate Red,4.8,104
Vintage Port Nacional,4.8,52
Clos du Mesnil,4.766666666666667,715
Veneto Alzero Cabernet,4.74,736
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.733333333333333,3619
Sauternes,4.7,6142
Valbuena 5º,4.7,3678
P2 Plénitude Brut Champagne,4.7,970
Cristal Rosé Brut Champagne (Millésimé),4.7,804
Dominus (Christian Moueix),4.7,370
Tenuta Guado al Tasso Matarocchio,4.7,342
Le Bourg Saumur Champigny,4.7,287
Les Pavots,4.7,126
Chevalier-Montrachet Grand Cru,4.7,104
Quiñon de Valmira,4.7,49
Collection Vintage 2000 Brut,4.7,45
Perpiero,4.7,43
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.7,32
