wine_name,year,grape_name,ratings_average,ratings_count,region,country
Cabernet Sauvignon,2015,Cabernet Sauvignon,4.8,2941,Rutherford,États-Unis
Special Selection Cabernet Sauvignon,1997,Cabernet Sauvignon,4.7,41236,Napa Valley,États-Unis
Special Selection Cabernet Sauvignon,2017,Cabernet Sauvignon,4.7,41236,Napa Valley,États-Unis
Cabernet Sauvignon,2019,Cabernet Sauvignon,4.6,157944,Napa Valley,États-Unis
Cabernet Sauvignon (Signature),2018,Cabernet Sauvignon,4.6,13730,Napa Valley,États-Unis
CASK 23 Cabernet Sauvignon,2018,Cabernet Sauvignon,4.6,9464,Napa Valley,États-Unis
Cabernet Sauvignon,2018,Cabernet Sauvignon,4.6,5927,Columbia Valley,États-Unis
Au Paradis Cabernet Sauvignon,2018,Cabernet Sauvignon,4.6,3004,Oakville,États-Unis
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,2005,Cabernet Sauvignon,4.6,1557,Oakville,États-Unis
Cabernet Sauvignon Coeur De Vallée,2019,Cabernet Sauvignon,4.6,544,Oakville,États-Unis
Cabernet Sauvignon,2016,Cabernet Sauvignon,4.6,152,California,États-Unis
Lithology Cabernet Sauvignon,2019,Cabernet Sauvignon,4.6,148,Napa Valley,États-Unis
One Point Five Cabernet Sauvignon,2019,Cabernet Sauvignon,4.5,16341,Stags Leap District,États-Unis
FAY Cabernet Sauvignon,2018,Cabernet Sauvignon,4.5,10840,Napa Valley,États-Unis
S.L.V. Cabernet Sauvignon,2018,Cabernet Sauvignon,4.5,6560,Napa Valley,États-Unis
Howell Mountain Cabernet Sauvignon,2017,Cabernet Sauvignon,4.5,6466,Howell Mountain,États-Unis
Cabernet Sauvignon,2006,Cabernet Sauvignon,4.5,3087,Walla Walla Valley,États-Unis
Cabernet Sauvignon,2008,Cabernet Sauvignon,4.5,3087,Walla Walla Valley,États-Unis
Cabernet Sauvignon,2004,Cabernet Sauvignon,4.5,3087,Walla Walla Valley,États-Unis
Cabernet Sauvignon,2009,Cabernet Sauvignon,4.5,3087,Walla Walla Valley,États-Unis
Cabernet Sauvignon,2001,Cabernet Sauvignon,4.5,3087,Walla Walla Valley,États-Unis
Cabernet Sauvignon,2003,Cabernet Sauvignon,4.5,3087,Walla Walla Valley,États-Unis
Blueline Estate Cabernet Sauvignon,2019,Cabernet Sauvignon,4.5,1321,Calistoga,États-Unis
Chloe Chardonnay,2020,Chardonnay,4.5,458,Russian River Valley,États-Unis
Reserve Chardonnay,2021,Chardonnay,4.5,396,Greyton,Afrique du Sud
Bentrock Vineyard Chardonnay,2019,Chardonnay,4.5,118,Sta. Rita Hills,États-Unis
ARTEMIS Cabernet Sauvignon,2020,Cabernet Sauvignon,4.4,81351,Napa Valley,États-Unis
Alexander Valley Cabernet Sauvignon,2017,Cabernet Sauvignon,4.4,46066,Alexander Valley,États-Unis
Cabernet Sauvignon,2018,Cabernet Sauvignon,4.4,28544,Napa Valley,États-Unis
Cabernet Sauvignon,2019,Cabernet Sauvignon,4.4,28544,Napa Valley,États-Unis
Georges De Latour Private Reserve Cabernet Sauvignon,2018,Cabernet Sauvignon,4.4,12652,Napa Valley,États-Unis
Georges De Latour Private Reserve Cabernet Sauvignon,2019,Cabernet Sauvignon,4.4,12652,Napa Valley,États-Unis
Domus Aurea Cabernet Sauvignon,2013,Cabernet Sauvignon,4.4,9603,Maipo Valley,Chili
Altagracia Cabernet Sauvignon,2012,Cabernet Sauvignon,4.4,3083,Napa Valley,États-Unis
Cabernet Sauvignon,2018,Cabernet Sauvignon,4.4,2830,Napa Valley,États-Unis
Cabernet Sauvignon,2019,Cabernet Sauvignon,4.4,2830,Napa Valley,États-Unis
Cabernet Sauvignon,2019,Cabernet Sauvignon,4.4,2408,Veneto,Italie
Merlot,2010,Merlot,4.4,1922,Walla Walla Valley,États-Unis
Merlot,2007,Merlot,4.4,1922,Walla Walla Valley,États-Unis
Merlot,2006,Merlot,4.4,1922,Walla Walla Valley,États-Unis
Merlot,2002,Merlot,4.4,1922,Walla Walla Valley,États-Unis
Merlot,2005,Merlot,4.4,1922,Walla Walla Valley,États-Unis
Merlot,1996,Merlot,4.4,1922,Walla Walla Valley,États-Unis
One Sixteen Chardonnay,2019,Chardonnay,4.4,1753,Russian River Valley,États-Unis
Calle Merlot Rosso Veronese,2015,Merlot,4.4,1053,Rosso Veronese,Italie
Chardonnay,2015,Chardonnay,4.4,1031,Western Cape,Afrique du Sud
Chardonnay,2016,Chardonnay,4.4,1031,Western Cape,Afrique du Sud
Chardonnay,2017,Chardonnay,4.4,1031,Western Cape,Afrique du Sud
Hyde Vineyard Chardonnay,2020,Chardonnay,4.4,265,Los Carneros,États-Unis
Chardonnay,2020,Chardonnay,4.4,201,Margaret River,Australie
110 e Lode Merlot,2018,Merlot,4.4,174,Veneto,Italie
Freienfeld Cabernet Sauvignon Riserva,2000,Cabernet Sauvignon,4.4,173,Südtirol - Alto Adige,Italie
Chardonnay,2019,Chardonnay,4.3,18694,Napa Valley,États-Unis
Chateau Buena Vista Cabernet Sauvignon Napa Valley,2018,Cabernet Sauvignon,4.3,13415,Napa Valley,États-Unis
Merlot (Signature),2018,Merlot,4.3,2312,Napa Valley,États-Unis
Rapture Cabernet Sauvignon,2017,Cabernet Sauvignon,4.3,2117,Lodi,États-Unis
Rutherford Cabernet Sauvignon,2017,Cabernet Sauvignon,4.3,655,Rutherford,États-Unis
