,vintage_name,country,popularity_score,value_for_money,combined_rank,popularity_rank,value_rank,vintage_ratings_average,vintage_rating_count,liter_price_euros
0,San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2017,Italie,43.858119492493365,52.7756059421423,19.0,7.0,31.0,4.5,17090,42.63333333333333
1,Tenuta Ulisse Limited Edition 10 Vendemmie,Italie,41.193393436914235,49.3421052631579,28.5,19.0,38.0,4.5,9453,45.6
2,Matarromera Ribera del Duero Reserva 2018,Espagne,38.01340762621815,41.30162703379224,51.5,46.0,57.0,4.4,5650,53.26666666666667
3,Rutini Malbec 2019,Argentine,34.54216999583302,63.48595613697576,56.5,100.0,13.0,4.4,2567,34.653333333333336
4,Gitana Lupi Rezerva 2016,Moldavie,34.273276027111734,55.06607929515418,66.5,105.0,28.0,4.5,2031,40.86
5,Pago de Carraovejas Tinto 2020,Espagne,34.485334492020655,39.28987194412107,81.5,101.0,62.0,4.5,2129,57.266666666666666
6,Zenato Amarone della Valpolicella Classico 2017,Italie,35.86205881114562,31.791907514450866,81.5,76.0,87.0,4.4,3465,69.2
7,Laurent-Perrier Brut Cuvée Champagne Rosé,France,46.24406243077412,22.916666666666668,85.0,2.0,168.0,4.4,36681,96.0
8,Buena Vista Chateau Buena Vista Cabernet Sauvignon Napa Valley 2018,États-Unis,36.34503088307211,26.634382566585955,99.5,67.0,132.0,4.4,3867,82.60000000000001
9,Pintia Toro 2017,Espagne,35.84964013937281,26.82829888712242,104.0,78.0,130.0,4.5,2883,83.86666666666666
